city,city_ascii,state_id,state_name,county_fips,county_name,lat,lng,population
Waukee,Waukee,IA,Iowa,19049,Dallas,41.5984,-93.8872,24089
South Plainfield,South Plainfield,NJ,New Jersey,34023,Middlesex,40.5748,-74.4153,24052
Wadsworth,Wadsworth,OH,Ohio,39103,Medina,41.0279,-81.7324,24046
Tumwater,Tumwater,WA,Washington,53067,Thurston,46.989,-122.9173,24024
Fairfax,Fairfax,VA,Virginia,51600,Fairfax,38.8531,-77.2998,24019
Candler-McAfee,Candler-McAfee,GA,Georgia,13089,DeKalb,33.7267,-84.2723,24011
Oak Ridge,Oak Ridge,FL,Florida,12095,Orange,28.4727,-81.4169,24004
Venice,Venice,FL,Florida,12115,Sarasota,27.1163,-82.4135,23985
Wright,Wright,FL,Florida,12091,Okaloosa,30.4445,-86.6419,23965
Lincolnia,Lincolnia,VA,Virginia,51059,Fairfax,38.8158,-77.1543,23933
Westchase,Westchase,FL,Florida,12057,Hillsborough,28.0597,-82.611,23923
Edgewater,Edgewater,FL,Florida,12127,Volusia,28.9594,-80.9407,23918
North Potomac,North Potomac,MD,Maryland,24031,Montgomery,39.0955,-77.2372,23914
Pelham,Pelham,AL,Alabama,1117,Shelby,33.3114,-86.7573,23911
Corsicana,Corsicana,TX,Texas,48349,Navarro,32.0824,-96.4665,23906
Seal Beach,Seal Beach,CA,California,6059,Orange,33.7542,-118.0714,23896
Fort Dodge,Fort Dodge,IA,Iowa,19187,Webster,42.5098,-94.1751,23888
Dunkirk,Dunkirk,NY,New York,36013,Chautauqua,42.4803,-79.3323,23874
Calabasas,Calabasas,CA,California,6037,Los Angeles,34.1375,-118.6689,23853
Chalmette,Chalmette,LA,Louisiana,22087,St. Bernard,29.9437,-89.9659,23851
North Augusta,North Augusta,SC,South Carolina,45003,Aiken,33.5214,-81.9547,23845
Palm River-Clair Mel,Palm River-Clair Mel,FL,Florida,12057,Hillsborough,27.9239,-82.3791,23844
Mount Pocono,Mount Pocono,PA,Pennsylvania,42089,Monroe,41.1225,-75.3582,23820
Farragut,Farragut,TN,Tennessee,47093,Knox,35.8731,-84.1822,23778
